link,name,ou
https://byui.brightspace.com/d2l/p/home/21662,Academic Success Module 1,21662
https://byui.brightspace.com/d2l/p/home/21663,Academic Success Module 2,21663
https://byui.brightspace.com/d2l/p/home/21664,Academic Success Module 3,21664
https://byui.brightspace.com/d2l/p/home/271733,"ACCTG 100: 01,02 (Campus); Spring 2017",271733
https://byui.brightspace.com/d2l/p/home/244123,ACCTG 180: 01 (Online); Spring 2017,244123
https://byui.brightspace.com/d2l/p/home/244124,ACCTG 180: 02 (Online); Spring 2017,244124
https://byui.brightspace.com/d2l/p/home/244125,ACCTG 180: 03 (Online); Spring 2017,244125
https://byui.brightspace.com/d2l/p/home/244130,ACCTG 180: 04 (Online); Spring 2017,244130
https://byui.brightspace.com/d2l/p/home/244139,ACCTG 180: 05 (Online); Spring 2017,244139
https://byui.brightspace.com/d2l/p/home/269163,"ACCTG 180: 07,08 (Campus); Spring 2017",269163
https://byui.brightspace.com/d2l/p/home/268474,"ACCTG 180: 09,11 (Campus); Spring 2017",268474
https://byui.brightspace.com/d2l/p/home/259153,ACCTG 180: 12 (Online); Spring 2017,259153
https://byui.brightspace.com/d2l/p/home/261812,ACCTG 201: 01 (Online); Spring 2017,261812
https://byui.brightspace.com/d2l/p/home/261825,ACCTG 201: 02 (Online); Spring 2017,261825
https://byui.brightspace.com/d2l/p/home/261826,ACCTG 201: 03 (Online); Spring 2017,261826
https://byui.brightspace.com/d2l/p/home/261827,ACCTG 201: 04 (Online); Spring 2017,261827
https://byui.brightspace.com/d2l/p/home/261828,ACCTG 201: 05 (Online); Spring 2017,261828
https://byui.brightspace.com/d2l/p/home/264078,"ACCTG 201: 07,13 (Campus); Spring 2017",264078
https://byui.brightspace.com/d2l/p/home/236199,"ACCTG 201: 08,12 (Campus); Spring 2017",236199
https://byui.brightspace.com/d2l/p/home/252358,"ACCTG 201: 09,14 (Campus); Spring 2017",252358
https://byui.brightspace.com/d2l/p/home/237839,"ACCTG 201: 11,15 (Campus); Spring 2017",237839
https://byui.brightspace.com/d2l/p/home/267347,ACCTG 201: 16 (Campus); Spring 2017,267347
https://byui.brightspace.com/d2l/p/home/254800,ACCTG 202: 01 (Online); Spring 2017,254800
https://byui.brightspace.com/d2l/p/home/254861,ACCTG 202: 02 (Online); Spring 2017,254861
https://byui.brightspace.com/d2l/p/home/254862,ACCTG 202: 03 (Online); Spring 2017,254862
https://byui.brightspace.com/d2l/p/home/254869,ACCTG 202: 04 (Online); Spring 2017,254869
https://byui.brightspace.com/d2l/p/home/264650,"ACCTG 202: 05,09 (Campus); Spring 2017",264650
https://byui.brightspace.com/d2l/p/home/263010,"ACCTG 202: 06,08 (Campus); Spring 2017",263010
https://byui.brightspace.com/d2l/p/home/247252,"ACCTG 202: 07,10 (Campus); Spring 2017",247252
https://byui.brightspace.com/d2l/p/home/246320,ACCTG 205: 01 (Online); Spring 2017,246320
https://byui.brightspace.com/d2l/p/home/246323,ACCTG 205: 02 (Online); Spring 2017,246323
https://byui.brightspace.com/d2l/p/home/246324,ACCTG 205: 03 (Online); Spring 2017,246324
https://byui.brightspace.com/d2l/p/home/252366,"ACCTG 301: 01,03 (Campus); Spring 2017",252366
https://byui.brightspace.com/d2l/p/home/236662,ACCTG 301: 02 (Campus); Spring 2017,236662
https://byui.brightspace.com/d2l/p/home/264654,ACCTG 302: 01 (Campus); Spring 2017,264654
https://byui.brightspace.com/d2l/p/home/236203,ACCTG 302: 02 (Campus); Spring 2017,236203
https://byui.brightspace.com/d2l/p/home/247244,ACCTG 312: 01 (Campus); Spring 2017,247244
https://byui.brightspace.com/d2l/p/home/237843,ACCTG 321: 01 (Campus); Spring 2017,237843
https://byui.brightspace.com/d2l/p/home/269167,ACCTG 321: 02 (Campus); Spring 2017,269167
https://byui.brightspace.com/d2l/p/home/269170,ACCTG 322: 01 (Campus); Spring 2017,269170
https://byui.brightspace.com/d2l/p/home/266721,ACCTG 322: 02 (Campus); Spring 2017,266721
https://byui.brightspace.com/d2l/p/home/271758,ACCTG 333A: 01 (Campus); Spring 2017,271758
https://byui.brightspace.com/d2l/p/home/271761,ACCTG 333A: 02 (Campus); Spring 2017,271761
https://byui.brightspace.com/d2l/p/home/271770,ACCTG 333B: 01 (Campus); Spring 2017,271770
https://byui.brightspace.com/d2l/p/home/271767,ACCTG 333B: 02 (Campus); Spring 2017,271767
https://byui.brightspace.com/d2l/p/home/247249,ACCTG 333B: 03 (Campus); Spring 2017,247249
https://byui.brightspace.com/d2l/p/home/268470,"ACCTG 344: 01,02 (Campus); Spring 2017",268470
https://byui.brightspace.com/d2l/p/home/271755,ACCTG 398R: 01 (Campus); Spring 2017,271755
https://byui.brightspace.com/d2l/p/home/236217,ACCTG 403: 01 (Campus); Spring 2017,236217
https://byui.brightspace.com/d2l/p/home/264668,ACCTG 440: 01 (Campus); Spring 2017,264668
https://byui.brightspace.com/d2l/p/home/263014,"ACCTG 456: 01,02 (Campus); Spring 2017",263014
https://byui.brightspace.com/d2l/p/home/271926,"ACCTG 499: 01,02 (Campus); Spring 2017",271926
https://byui.brightspace.com/d2l/p/home/268153,AGBUS 100: 01 (Campus); Spring 2017,268153
https://byui.brightspace.com/d2l/p/home/242933,AGBUS 105: 01 (Online); Spring 2017,242933
https://byui.brightspace.com/d2l/p/home/272268,AGBUS 138: 01 (Online); Spring 2017,272268
https://byui.brightspace.com/d2l/p/home/242934,AGBUS 147: 01 (Online); Spring 2017,242934
https://byui.brightspace.com/d2l/p/home/242935,AGBUS 180A: 01 (Online); Spring 2017,242935
https://byui.brightspace.com/d2l/p/home/242936,AGBUS 180B: 01 (Online); Spring 2017,242936
https://byui.brightspace.com/d2l/p/home/269034,AGBUS 198R: 01 (Online); Spring 2017,269034
