link,name,ou
https://byui.brightspace.com/d2l/p/home/271733,"ACCTG 100: 01,02 (Campus); Spring 2017",271733
https://byui.brightspace.com/d2l/p/home/269163,"ACCTG 180: 07,08 (Campus); Spring 2017",269163
https://byui.brightspace.com/d2l/p/home/268474,"ACCTG 180: 09,11 (Campus); Spring 2017",268474
https://byui.brightspace.com/d2l/p/home/264078,"ACCTG 201: 07,13 (Campus); Spring 2017",264078
https://byui.brightspace.com/d2l/p/home/236199,"ACCTG 201: 08,12 (Campus); Spring 2017",236199
https://byui.brightspace.com/d2l/p/home/252358,"ACCTG 201: 09,14 (Campus); Spring 2017",252358
https://byui.brightspace.com/d2l/p/home/237839,"ACCTG 201: 11,15 (Campus); Spring 2017",237839
https://byui.brightspace.com/d2l/p/home/267347,ACCTG 201: 16 (Campus); Spring 2017,267347
https://byui.brightspace.com/d2l/p/home/264650,"ACCTG 202: 05,09 (Campus); Spring 2017",264650
https://byui.brightspace.com/d2l/p/home/263010,"ACCTG 202: 06,08 (Campus); Spring 2017",263010
https://byui.brightspace.com/d2l/p/home/247252,"ACCTG 202: 07,10 (Campus); Spring 2017",247252
https://byui.brightspace.com/d2l/p/home/252366,"ACCTG 301: 01,03 (Campus); Spring 2017",252366
https://byui.brightspace.com/d2l/p/home/236662,ACCTG 301: 02 (Campus); Spring 2017,236662
https://byui.brightspace.com/d2l/p/home/264654,ACCTG 302: 01 (Campus); Spring 2017,264654
https://byui.brightspace.com/d2l/p/home/236203,ACCTG 302: 02 (Campus); Spring 2017,236203
https://byui.brightspace.com/d2l/p/home/247244,ACCTG 312: 01 (Campus); Spring 2017,247244
https://byui.brightspace.com/d2l/p/home/237843,ACCTG 321: 01 (Campus); Spring 2017,237843
https://byui.brightspace.com/d2l/p/home/269167,ACCTG 321: 02 (Campus); Spring 2017,269167
https://byui.brightspace.com/d2l/p/home/269170,ACCTG 322: 01 (Campus); Spring 2017,269170
https://byui.brightspace.com/d2l/p/home/266721,ACCTG 322: 02 (Campus); Spring 2017,266721
https://byui.brightspace.com/d2l/p/home/271758,ACCTG 333A: 01 (Campus); Spring 2017,271758
https://byui.brightspace.com/d2l/p/home/271761,ACCTG 333A: 02 (Campus); Spring 2017,271761
https://byui.brightspace.com/d2l/p/home/271770,ACCTG 333B: 01 (Campus); Spring 2017,271770
https://byui.brightspace.com/d2l/p/home/271767,ACCTG 333B: 02 (Campus); Spring 2017,271767
https://byui.brightspace.com/d2l/p/home/247249,ACCTG 333B: 03 (Campus); Spring 2017,247249
https://byui.brightspace.com/d2l/p/home/268470,"ACCTG 344: 01,02 (Campus); Spring 2017",268470
https://byui.brightspace.com/d2l/p/home/271755,ACCTG 398R: 01 (Campus); Spring 2017,271755
https://byui.brightspace.com/d2l/p/home/236217,ACCTG 403: 01 (Campus); Spring 2017,236217
https://byui.brightspace.com/d2l/p/home/264668,ACCTG 440: 01 (Campus); Spring 2017,264668
https://byui.brightspace.com/d2l/p/home/263014,"ACCTG 456: 01,02 (Campus); Spring 2017",263014
https://byui.brightspace.com/d2l/p/home/271926,"ACCTG 499: 01,02 (Campus); Spring 2017",271926
https://byui.brightspace.com/d2l/p/home/268153,AGBUS 100: 01 (Campus); Spring 2017,268153
https://byui.brightspace.com/d2l/p/home/264010,AGBUS 210: 01 (Campus); Spring 2017,264010
https://byui.brightspace.com/d2l/p/home/268149,AGBUS 398: 01 (Campus); Spring 2017,268149
https://byui.brightspace.com/d2l/p/home/270694,AGRON 321: 01 (Campus); Spring 2017,270694
https://byui.brightspace.com/d2l/p/home/271210,AGRON 325: 01 (Campus); Spring 2017,271210
https://byui.brightspace.com/d2l/p/home/271213,AGRON 330: 01 (Campus); Spring 2017,271213
https://byui.brightspace.com/d2l/p/home/272861,AGRON 425: 01 (Campus); Spring 2017,272861
https://byui.brightspace.com/d2l/p/home/273068,AGRON 435: 01 (Campus); Spring 2017,273068
https://byui.brightspace.com/d2l/p/home/273071,AGRON 455: 01 (Campus); Spring 2017,273071
https://byui.brightspace.com/d2l/p/home/270710,AGTEC 186: 01 (Campus); Spring 2017,270710
https://byui.brightspace.com/d2l/p/home/273074,AGTEC 220: 01 (Campus); Spring 2017,273074
https://byui.brightspace.com/d2l/p/home/273738,AGTEC 230: 01 (Campus); Spring 2017,273738
