link,name,ou
https://pathway.brightspace.com/d2l/p/home/22844,ECI 001 - R--- - Online Reference,22844
https://pathway.brightspace.com/d2l/p/home/22845,ECI 002 - R--- - Online Reference,22845
https://pathway.brightspace.com/d2l/p/home/22824,ENG 106 - RG-- - Online Reference (Gathering),22824
https://pathway.brightspace.com/d2l/p/home/21538,ENG 106L - RG-- - Online Reference (Gathering),21538
https://pathway.brightspace.com/d2l/p/home/22866,FDREL 121 - RG-- - Online Reference (Gathering),22866
https://pathway.brightspace.com/d2l/p/home/30150,FDREL 122 - RG-- - Online Reference (Gathering),30150
https://pathway.brightspace.com/d2l/p/home/22868,FDREL 200 - RG-- - Online Reference (Gathering),22868
https://pathway.brightspace.com/d2l/p/home/22867,FDREL 250 - RG-- - Online Reference (Gathering),22867
https://pathway.brightspace.com/d2l/p/home/22480,GS 120 - RG-- - Online Reference (Gathering),22480
https://pathway.brightspace.com/d2l/p/home/22560,GS 120L - RG-- - Online Reference (Gathering),22560
https://pathway.brightspace.com/d2l/p/home/22757,MATH 100G - RG-- - Online Reference (Gathering),22757
https://pathway.brightspace.com/d2l/p/home/21566,MATH 100L - RG-- - Online Reference (Gathering),21566
https://pathway.brightspace.com/d2l/p/home/21487,OLD FDREL 121 - RG-- - Online Reference (Gathering) Course Replaced W17,21487
